gpu,fold,arm,k,regret
4090,0,random_pruned,2,1.235167
4090,0,random_pruned,4,1.160716
4090,0,random_pruned,8,1.109168
4090,0,random_pruned,16,1.071904
4090,0,random_pruned,32,1.053738
4090,0,random_pruned,64,1.038200
4090,0,random_pruned,128,1.027233
4090,0,random_pruned,256,1.020844
4090,0,random_pruned,512,1.014939
4090,0,random_pruned,1024,1.009942
4090,0,random_pruned,2048,1.006202
4090,0,random_pruned,4096,1.003535
4090,0,random_cond,1,2.873803
4090,0,random_cond,2,1.453324
4090,0,random_cond,4,1.252835
4090,0,random_cond,8,1.135598
4090,0,random_cond,16,1.096291
4090,0,random_cond,32,1.072363
4090,0,random_cond,64,1.053301
4090,0,random_cond,128,1.035937
4090,0,random_cond,256,1.030195
4090,0,random_cond,512,1.022692
4090,0,random_cond,1024,1.015376
4090,0,random_cond,2048,1.011171
4090,0,random_cond,4096,1.005733
4090,0,tpe,1,1.533271
4090,0,tpe,2,1.251032
4090,0,tpe,4,1.129747
4090,0,tpe,8,1.081968
4090,0,tpe,16,1.069470
4090,0,tpe,32,1.055860
4090,0,tpe,64,1.042851
4090,0,tpe,128,1.026054
4090,0,tpe,256,1.018584
4090,0,tpe,512,1.010880
4090,0,tpe,1024,1.007315
4090,0,our_rule,0,1.038482
4090,0,vendor,0,1.109127
4090,1,random,1,1.802381
4090,1,random,2,1.328656
4090,1,random,4,1.181111
4090,1,random,8,1.108484
4090,1,random,16,1.073709
4090,1,random,32,1.047271
4090,1,random,64,1.034772
4090,1,random,128,1.022324
4090,1,random,256,1.016070
4090,1,random,512,1.011451
4090,1,random,1024,1.007443
4090,1,random,2048,1.004455
4090,1,random,4096,1.001991
4090,1,random_pruned,1,1.488294
4090,1,random_pruned,2,1.310382
4090,1,random_pruned,4,1.187591
4090,1,random_pruned,8,1.116066
4090,1,random_pruned,16,1.077054
4090,1,random_pruned,32,1.050516
4090,1,random_pruned,64,1.036093
4090,1,random_pruned,128,1.023432
4090,1,random_pruned,256,1.017100
4090,1,random_pruned,512,1.012197
4090,1,random_pruned,1024,1.008324
4090,1,random_pruned,2048,1.005079
4090,1,random_pruned,4096,1.003204
4090,1,random_cond,1,2.151406
4090,1,random_cond,2,1.422079
4090,1,random_cond,4,1.219591
4090,1,random_cond,8,1.129997
4090,1,random_cond,16,1.086345
4090,1,random_cond,32,1.055407
4090,1,random_cond,64,1.038130
4090,1,random_cond,128,1.026941
4090,1,random_cond,256,1.016056
4090,1,random_cond,512,1.010279
4090,1,random_cond,1024,1.007844
4090,1,random_cond,2048,1.004631
4090,1,random_cond,4096,1.002482
4090,1,tpe,1,1.771567
4090,1,tpe,2,1.517530
4090,1,tpe,4,1.406230
4090,1,tpe,8,1.098283
4090,1,tpe,16,1.072061
4090,1,tpe,32,1.042120
4090,1,tpe,64,1.025683
4090,1,tpe,128,1.014941
4090,1,tpe,256,1.011030
4090,1,tpe,512,1.008013
4090,1,tpe,1024,1.004925
4090,1,our_rule,0,1.034661
4090,1,vendor,0,1.066731
4090,2,random,1,1.857849
4090,2,random,2,1.368472
4090,2,random,4,1.220103
4090,2,random,8,1.127647
4090,2,random,16,1.081041
4090,2,random,32,1.051773
4090,2,random,64,1.037148
4090,2,random,128,1.026455
4090,2,random,256,1.016841
4090,2,random,512,1.011760
4090,2,random,1024,1.007677
4090,2,random,2048,1.004893
4090,2,random,4096,1.002392
4090,2,random_pruned,1,1.623647
4090,2,random_pruned,2,1.362378
4090,2,random_pruned,4,1.210905
4090,2,random_pruned,8,1.137438
4090,2,random_pruned,16,1.089035
4090,2,random_pruned,32,1.051368
4090,2,random_pruned,64,1.038363
4090,2,random_pruned,128,1.025790
4090,2,random_pruned,256,1.017357
4090,2,random_pruned,512,1.011952
4090,2,random_pruned,1024,1.007617
4090,2,random_pruned,2048,1.004761
4090,2,random_pruned,4096,1.003009
4090,2,random_cond,1,2.791018
4090,2,random_cond,2,1.444445
4090,2,random_cond,4,1.243214
4090,2,random_cond,8,1.173523
4090,2,random_cond,16,1.105319
4090,2,random_cond,32,1.070628
4090,2,random_cond,64,1.050094
